  Mh = 0.8

  Q 
0.10000E+01 0.10965E+01 0.12023E+01 0.13183E+01 0.14454E+01
0.15849E+01 0.17378E+01 0.19055E+01 0.20893E+01 0.22909E+01
0.25119E+01 0.27542E+01 0.30200E+01 0.33113E+01 0.36308E+01
0.39811E+01 0.43652E+01 0.47863E+01 0.52481E+01 0.57544E+01
0.63096E+01 0.69183E+01 0.75858E+01 0.83176E+01 0.91201E+01
0.10000E+02 0.10965E+02 0.12023E+02 0.13183E+02 0.14454E+02
0.15849E+02 0.17378E+02 0.19055E+02 0.20893E+02 0.22909E+02
0.25119E+02 0.27542E+02 0.30200E+02 0.33113E+02 0.36308E+02
0.39811E+02 0.43652E+02 0.47863E+02 0.52481E+02 0.57544E+02
0.63096E+02 0.69183E+02 0.75858E+02 0.83176E+02 0.91201E+02

  z 
0.20000E+00 0.22667E+00 0.25333E+00 0.28000E+00 0.30667E+00
0.33333E+00 0.36000E+00 0.38667E+00 0.41333E+00 0.44000E+00
0.46667E+00 0.49333E+00 0.52000E+00 0.54667E+00 0.57333E+00
0.60000E+00 0.62667E+00 0.65333E+00 0.68000E+00 0.70667E+00
0.73333E+00 0.76000E+00 0.78667E+00 0.81333E+00 0.84000E+00
0.86667E+00 0.89333E+00 0.92000E+00 0.94667E+00 0.97333E+00


  anti-t       anti-b       anti-c       anti-s       anti-u       anti-d       g            d            u            s            c            b            t
  0.00000E+00 -0.69389E-16  0.27195E+00  0.41164E+00  0.86031E+00  0.86870E+00  0.76142E-02  0.86870E+00  0.86031E+00  0.41164E+00  0.27195E+00 -0.69389E-16  0.00000E+00
  0.00000E+00 -0.41633E-16  0.21843E+00  0.36135E+00  0.79653E+00  0.80389E+00  0.64886E-02  0.80389E+00  0.79653E+00  0.36135E+00  0.21843E+00 -0.41633E-16  0.00000E+00
  0.00000E+00 -0.13878E-16  0.17226E+00  0.31450E+00  0.73370E+00  0.74009E+00  0.54888E-02  0.74009E+00  0.73370E+00  0.31450E+00  0.17226E+00 -0.13878E-16  0.00000E+00
  0.00000E+00 -0.69389E-16  0.13325E+00  0.27124E+00  0.67202E+00  0.67749E+00  0.46021E-02  0.67749E+00  0.67202E+00  0.27124E+00  0.13325E+00 -0.69389E-16  0.00000E+00
  0.00000E+00 -0.48572E-16  0.10098E+00  0.23158E+00  0.61158E+00  0.61621E+00  0.38190E-02  0.61621E+00  0.61158E+00  0.23158E+00  0.10098E+00 -0.48572E-16  0.00000E+00
  0.00000E+00 -0.27756E-16  0.74840E-01  0.19550E+00  0.55242E+00  0.55629E+00  0.31305E-02  0.55629E+00  0.55242E+00  0.19550E+00  0.74840E-01 -0.27756E-16  0.00000E+00
  0.00000E+00 -0.13878E-16  0.54138E-01  0.16291E+00  0.49455E+00  0.49776E+00  0.25285E-02  0.49776E+00  0.49455E+00  0.16291E+00  0.54138E-01 -0.13878E-16  0.00000E+00
  0.00000E+00 -0.27756E-16  0.38120E-01  0.13372E+00  0.43802E+00  0.44065E+00  0.20058E-02  0.44065E+00  0.43802E+00  0.13372E+00  0.38120E-01 -0.27756E-16  0.00000E+00
  0.00000E+00 -0.24286E-16  0.26034E-01  0.10783E+00  0.38289E+00  0.38501E+00  0.15562E-02  0.38501E+00  0.38289E+00  0.10783E+00  0.26034E-01 -0.24286E-16  0.00000E+00
  0.00000E+00 -0.13878E-16  0.17158E-01  0.85107E-01  0.32926E+00  0.33096E+00  0.11742E-02  0.33096E+00  0.32926E+00  0.85107E-01  0.17158E-01 -0.13878E-16  0.00000E+00
  0.00000E+00 -0.17347E-16  0.10834E-01  0.65429E-01  0.27729E+00  0.27864E+00  0.85488E-03  0.27864E+00  0.27729E+00  0.65429E-01  0.10834E-01 -0.17347E-16  0.00000E+00
